,House Name,Location,ImgURL,Price
461,4 Bed Townhouse with En Suite at South C,4 Bedrooms Maisonette For Sale in South C,https://i.roamcdn.net/prop/brk/listing-thumb-376w/9162c091661a09ab311c35e17a7384ac/-/prod-property-core-backend-media-brk/6343999/953c9cb9-0b7c-4824-9d7b-53cfbdcdbb78.jpg,"KSh 350,000"
462,"5,000 ft² Land in Nanyuki",Plots for sale in Nanyuki,https://i.roamcdn.net/prop/brk/listing-thumb-376w/1c17e13b49caf873550eeb2a1b14e9b1/-/prod-property-core-backend-media-brk/6653542/e7f34b0a-9d2d-4b1a-aaa4-dfb2a728f275.jpeg,"KSh 25,000,000"
463,3 Bed Apartment with En Suite at Kilimani,Spacious 3-Bedroom Apartment with a Dsq in Kili ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/3e38e4fd58eae0614cea5d0e98c76e8b/-/prod-property-core-backend-media-brk/2651452/87ccc015-a05c-42c5-93d2-2247fa2e40a1.jpg,"KSh 6,800,000"
464,2 Bed Apartment with En Suite in Kilimani,2 BEDROOM APARTMENT FOR SALE IN KILIMANI,https://i.roamcdn.net/prop/brk/listing-thumb-376w/366d92aefa7ae7ec799de62b79d9eaa8/-/prod-property-core-backend-media-brk/6111907/72230a29-7d4a-4813-bedd-75552da22e7b.jpg,"KSh 35,000,000"
465,3 Bed Townhouse with En Suite at Kiambu Road,3 Bedroom Townhouse For sale on Kiambu road,https://i.roamcdn.net/prop/brk/listing-thumb-376w/8faeb21b76a99d144ed1af4cb070a714/-/prod-property-core-backend-media-brk/6142899/778ef8d1-f227-4fa5-a912-8b137bbb83ff.jpg,"KSh 245,403,755"
466,5 Bed House with Swimming Pool at Miotoni West Road,"5 bedroom house for sale in Miotoni West Road, ...",https://i.roamcdn.net/prop/brk/listing-thumb-376w/c0106fd4b674a94c350e1900c9ddc135/-/prod-property-core-backend-media-brk/6143163/f9f809ad-6c4f-49ee-b9f5-b79fa91c114e.jpg,"KSh 13,650,000"
467,Land at Ethi,"Stunning 19.5-acre plot for sale in Ethi, Nanyu ...",https://i.roamcdn.net/prop/brk/listing-thumb-376w/46ce159916f3a206d0ebacc22a8eec02/-/prod-property-core-backend-media-brk/6675574/2096789b-be22-4370-ba51-36ab06a57622.jpg,"KSh 7,656,000"
468,Serviced 1 Bed Apartment with En Suite in Westlands Area,Superbly Done Masterpiece Luxury Residences In ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/4c6a81b74edaa14f4044e7d4362d0c57/-/prod-property-core-backend-media-brk/6377706/6c666869-18e5-49e2-be68-7b10aa20472f.jpg,"KSh 20,000,000"
469,4 Bed Apartment with Borehole in Parklands,Spacious 4 Bedroom Apartment For Sale In Parkla ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/f250af01ea671cec4aa88608f621dd94/-/prod-property-core-backend-media-brk/6377515/09a05fc9-7744-447b-aaee-7e82746f0d87.jpg,"KSh 6,680,000"
470,1 Bed Apartment with Swimming Pool in Kilimani,1-Bedroom Apartment - 73.4 Sqm.,https://i.roamcdn.net/prop/brk/listing-thumb-376w/bd99b10a6cdc60ce975832ff1f18762f/-/prod-property-core-backend-media-brk/6434657/8110ab7d-35e0-4673-8e64-fff759b7c823.jpg,"KSh 40,000,000"
